"URN","Linked UID","Group Name","Companies House Number","Group Type","Closed Date","Group Status","FederationType","Joined date","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","PhaseOfEducation (code)","PhaseOfEducation (name)","LA (code)","LA (name)","HasSharedHT"
132711,3319,"Harris Federation","","School sponsor","","Open","","01-09-2006","Harris Girls' Academy East Dulwich","28","Academy sponsor led","4","Secondary","210","Southwark"
132727,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2006","Walthamstow Academy","28","Academy sponsor led","4","Secondary","320","Waltham Forest"
132727,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2006","Walthamstow Academy","28","Academy sponsor led","4","Secondary","320","Waltham Forest"
133114,3162,"The Gateway Learning Community","","School sponsor","","Open","","01-09-2006","The Gateway Academy","28","Academy sponsor led","4","Secondary","883","Thurrock"
133114,3163,"GATEWAY LEARNING COMMUNITY","05853746","Multi-academy trust","","Open","","01-09-2006","The Gateway Academy","28","Academy sponsor led","4","Secondary","883","Thurrock"
133386,3255,"GREIG CITY ACADEMY","04220486","Single-academy trust","","Open","","01-09-2002","Greig City Academy","28","Academy sponsor led","4","Secondary","309","Haringey"
133386,3256,"Greig Trust","","School sponsor","","Open","Hard","01-09-2002","Greig City Academy","28","Academy sponsor led","4","Secondary","309","Haringey"
133697,16830,"THOMAS TELFORD MULTI ACADEMY TRUST","04798185","Multi-academy trust","","Open","","01-09-2017","Walsall Academy","28","Academy sponsor led","4","Secondary","335","Walsall"
133697,5058,"Thomas Telford School","","School sponsor","","Open","Hard","01-09-2017","Walsall Academy","28","Academy sponsor led","4","Secondary","335","Walsall"
133768,5144,"UNITY CITY ACADEMY TRUST","04357009","Single-academy trust","","Open","","01-09-2002","Unity City Academy","28","Academy sponsor led","4","Secondary","806","Middlesbrough"
133768,2054,"Academies Enterprise Trust (AET)","","School sponsor","","Open","","01-01-2012","Unity City Academy","28","Academy sponsor led","4","Secondary","806","Middlesbrough"
134003,2596,"Education Development Trust","","School sponsor","","Open","","01-09-2006","St Mark's Church of England Academy","28","Academy sponsor led","4","Secondary","315","Merton"
134003,2597,"CFBT SCHOOLS TRUST","07468210","Multi-academy trust","","Open","","01-09-2006","St Mark's Church of England Academy","28","Academy sponsor led","4","Secondary","315","Merton"
134222,2705,"CITY OF LONDON ACADEMIES TRUST","04504128","Multi-academy trust","","Open","","01-09-2003","City of London Academy (Southwark)","28","Academy sponsor led","4","Secondary","210","Southwark"
134222,2707,"City of London Academies Trust","","School sponsor","","Open","","01-09-2003","City of London Academy (Southwark)","28","Academy sponsor led","4","Secondary","210","Southwark"
134223,3035,"Emmanuel Schools Foundation","","School sponsor","","Open","","01-08-2016","The King's Academy","28","Academy sponsor led","4","Secondary","806","Middlesbrough"
134223,16552,"EMMANUEL SCHOOLS FOUNDATION","04464331","Multi-academy trust","","Open","","01-02-2017","The King's Academy","28","Academy sponsor led","4","Secondary","806","Middlesbrough"
134224,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2003","Manchester Academy","28","Academy sponsor led","4","Secondary","352","Manchester"
134224,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2003","Manchester Academy","28","Academy sponsor led","4","Secondary","352","Manchester"
134225,3319,"Harris Federation","","School sponsor","","Open","","03-06-2003","Harris Academy Peckham","28","Academy sponsor led","4","Secondary","210","Southwark"
134225,3320,"HARRIS FEDERATION","06228587","Multi-academy trust","","Open","","26-04-2007","Harris Academy Peckham","28","Academy sponsor led","4","Secondary","210","Southwark"
134226,2542,"THE CAPITAL CITY ACADEMY TRUST","04268208","Single-academy trust","","Open","","01-09-2003","Capital City Academy","28","Academy sponsor led","4","Secondary","304","Brent"
134226,4529,"Sir Frank Lowe","","School sponsor","","Open","","01-09-2003","Capital City Academy","28","Academy sponsor led","4","Secondary","304","Brent"
134253,2940,"Djanogly Learning Trust","","School sponsor","","Open","","01-09-2003","Djanogly City Academy","28","Academy sponsor led","4","Secondary","892","Nottingham"
134253,2941,"DJANOGLY LEARNING TRUST","04544722","Multi-academy trust","","Open","","01-09-2003","Djanogly City Academy","28","Academy sponsor led","4","Secondary","892","Nottingham"
134311,4075,"Oasis Community Learning","","School sponsor","","Open","","01-09-2007","Oasis Academy Enfield","28","Academy sponsor led","4","Secondary","308","Enfield"
134311,4076,"OASIS COMMUNITY LEARNING","05398529","Multi-academy trust","","Open","","01-09-2007","Oasis Academy Enfield","28","Academy sponsor led","4","Secondary","308","Enfield"
134314,2914,"Diocese of London","","School sponsor","","Open","","01-09-2007","St Mary Magdalene Academy","28","Academy sponsor led","7","All through","206","Islington"
134314,17185,"HIVE EDUCATION TRUST","05412502","Multi-academy trust","","Open","Hard","23-01-2019","St Mary Magdalene Academy","28","Academy sponsor led","7","All through","206","Islington"
134369,2099,"THE ALEC REED ACADEMY","04444278","Single-academy trust","","Open","","01-09-2003","Alec Reed Academy","28","Academy sponsor led","7","All through","307","Ealing"
134369,2098,"Alec Reed","","School sponsor","","Open","","01-09-2003","Alec Reed Academy","28","Academy sponsor led","7","All through","307","Ealing"
134693,4999,"The Mossbourne Federation","","School sponsor","","Open","","01-09-2004","Mossbourne Community Academy","28","Academy sponsor led","4","Secondary","204","Hackney"
134693,3939,"THE MOSSBOURNE FEDERATION","04468267","Multi-academy trust","","Open","","01-09-2004","Mossbourne Community Academy","28","Academy sponsor led","4","Secondary","204","Hackney"
134798,4191,"Peter Shalson","","School sponsor","","Open","","01-09-2004","London Academy","28","Academy sponsor led","7","All through","302","Barnet"
134798,2232,"AIM ACADEMIES TRUST","04389132","Multi-academy trust","","Open","","01-09-2004","London Academy","28","Academy sponsor led","7","All through","302","Barnet"
134814,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2004","Northampton Academy","28","Academy sponsor led","4","Secondary","928","Northamptonshire"
134814,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2004","Northampton Academy","28","Academy sponsor led","4","Secondary","928","Northamptonshire"
134815,5142,"United Learning Trust","","School sponsor","","Open","","01-09-2004","Lambeth Academy","28","Academy sponsor led","4","Secondary","208","Lambeth"
134815,5143,"UNITED LEARNING TRUST","04439859","Multi-academy trust","","Open","","01-09-2004","Lambeth Academy","28","Academy sponsor led","4","Secondary","208","Lambeth"
134993,16830,"THOMAS TELFORD MULTI ACADEMY TRUST","04798185","Multi-academy trust","","Open","","01-09-2006","Sandwell Academy","28","Academy sponsor led","4","Secondary","333","Sandwell"
134993,5058,"Thomas Telford School","","School sponsor","","Open","Hard","01-09-2006","Sandwell Academy","28","Academy sponsor led","4","Secondary","333","Sandwell"
135004,3310,"HAREFIELD ACADEMY TRUST","05051218","Single-academy trust","","Open","","01-09-2005","The Harefield Academy","28","Academy sponsor led","4","Secondary","312","Hillingdon"
135004,2852,"David Meller","","School sponsor","","Open","Hard","01-09-2005","The Harefield Academy","28","Academy sponsor led","4","Secondary","312","Hillingdon"
135007,3035,"Emmanuel Schools Foundation","","School sponsor","","Open","","01-08-2016","Trinity Academy","28","Academy sponsor led","4","Secondary","371","Doncaster"
135007,16552,"EMMANUEL SCHOOLS FOUNDATION","04464331","Multi-academy trust","","Open","","01-02-2017","Trinity Academy","28","Academy sponsor led","4","Secondary","371","Doncaster"
135070,3278,"The Haberdashers' Livery Company","","School sponsor","","Open","","01-09-2005","Haberdashers' Aske's Knights Academy","28","Academy sponsor led","7","All through","209","Lewisham"
135070,3279,"HABERDASHERS' ASKE'S FEDERATION TRUST","02535091","Multi-academy trust","","Open","","01-09-2005","Haberdashers' Aske's Knights Academy","28","Academy sponsor led","7","All through","209","Lewisham"
